Prediction Accuracy = 39.828%, Running Loss = 5.660997152328491
Prediction Accuracy = 39.861999999999995%, Running Loss = 5.660888576507569
Prediction Accuracy = 39.85600000000001%, Running Loss = 5.660367393493653
Prediction Accuracy = 39.884%, Running Loss = 5.660165882110595
Prediction Accuracy = 39.944%, Running Loss = 5.659920120239258
Prediction Accuracy = 39.94599999999999%, Running Loss = 5.659663295745849
Prediction Accuracy = 40.010000000000005%, Running Loss = 5.659468173980713
Prediction Accuracy = 40.032%, Running Loss = 5.659403705596924
Prediction Accuracy = 40.040000000000006%, Running Loss = 5.658973693847656
Prediction Accuracy = 40.058%, Running Loss = 5.659045124053955
Prediction Accuracy = 40.087999999999994%, Running Loss = 5.658473539352417
Prediction Accuracy = 40.08%, Running Loss = 5.658436679840088
Prediction Accuracy = 40.1%, Running Loss = 5.658130693435669
Prediction Accuracy = 40.102%, Running Loss = 5.657770156860352
Prediction Accuracy = 40.126%, Running Loss = 5.657566928863526
Prediction Accuracy = 40.132%, Running Loss = 5.65737771987915
Prediction Accuracy = 40.176%, Running Loss = 5.657148551940918
Prediction Accuracy = 40.19599999999999%, Running Loss = 5.657070159912109
Prediction Accuracy = 40.19%, Running Loss = 5.6566626071929935
Prediction Accuracy = 40.226%, Running Loss = 5.656613349914551
Prediction Accuracy = 40.284%, Running Loss = 5.656242179870605
Prediction Accuracy = 40.284%, Running Loss = 5.656181573867798
Prediction Accuracy = 40.31%, Running Loss = 5.655941009521484
Prediction Accuracy = 40.344%, Running Loss = 5.655669260025024
Prediction Accuracy = 40.378%, Running Loss = 5.65570821762085
Prediction Accuracy = 40.413999999999994%, Running Loss = 5.655334949493408
Prediction Accuracy = 40.522%, Running Loss = 5.654899072647095
Prediction Accuracy = 40.513999999999996%, Running Loss = 5.655201721191406
Prediction Accuracy = 40.552%, Running Loss = 5.65559983253479
Prediction Accuracy = 40.577999999999996%, Running Loss = 5.654525995254517
Prediction Accuracy = 40.596%, Running Loss = 5.654268264770508
Prediction Accuracy = 40.614%, Running Loss = 5.6540382385253904
Prediction Accuracy = 40.67999999999999%, Running Loss = 5.653764057159424
Prediction Accuracy = 40.67999999999999%, Running Loss = 5.653680038452149
Prediction Accuracy = 40.693999999999996%, Running Loss = 5.653181886672973
Prediction Accuracy = 40.708%, Running Loss = 5.653246784210205
Prediction Accuracy = 40.730000000000004%, Running Loss = 5.6529639720916744
Prediction Accuracy = 40.74%, Running Loss = 5.653034210205078
Prediction Accuracy = 40.757999999999996%, Running Loss = 5.652503204345703
Prediction Accuracy = 40.786%, Running Loss = 5.6528322219848635
Prediction Accuracy = 40.821999999999996%, Running Loss = 5.652225303649902
Prediction Accuracy = 40.864%, Running Loss = 5.651877307891846
Prediction Accuracy = 40.902%, Running Loss = 5.6522563934326175
Prediction Accuracy = 40.898%, Running Loss = 5.651532602310181
Prediction Accuracy = 40.866%, Running Loss = 5.651510429382324
Prediction Accuracy = 40.85799999999999%, Running Loss = 5.651217603683472
Prediction Accuracy = 40.928%, Running Loss = 5.651155471801758
Prediction Accuracy = 40.944%, Running Loss = 5.651038646697998
Prediction Accuracy = 40.93%, Running Loss = 5.650678539276123
Prediction Accuracy = 40.94799999999999%, Running Loss = 5.6503643035888675
Prediction Accuracy = 41.002%, Running Loss = 5.650289392471313
Prediction Accuracy = 40.994%, Running Loss = 5.65025372505188
Prediction Accuracy = 41.007999999999996%, Running Loss = 5.650107145309448
Prediction Accuracy = 41.068000000000005%, Running Loss = 5.649772071838379
Prediction Accuracy = 41.08200000000001%, Running Loss = 5.649630355834961
Prediction Accuracy = 41.074%, Running Loss = 5.650058460235596
Prediction Accuracy = 41.098%, Running Loss = 5.649349737167358
Prediction Accuracy = 41.098%, Running Loss = 5.649294805526734
Prediction Accuracy = 41.15999999999999%, Running Loss = 5.649028539657593
Prediction Accuracy = 41.19%, Running Loss = 5.648938894271851
Prediction Accuracy = 41.146%, Running Loss = 5.6488641738891605
Prediction Accuracy = 41.182%, Running Loss = 5.6485920429229735
Prediction Accuracy = 41.224000000000004%, Running Loss = 5.648393201828003
Prediction Accuracy = 41.290000000000006%, Running Loss = 5.648498678207398
Prediction Accuracy = 41.275999999999996%, Running Loss = 5.648750305175781
Prediction Accuracy = 41.302%, Running Loss = 5.648024654388427
Prediction Accuracy = 41.312%, Running Loss = 5.647618007659912
Prediction Accuracy = 41.315999999999995%, Running Loss = 5.647693824768067
Prediction Accuracy = 41.346000000000004%, Running Loss = 5.647424173355103
Prediction Accuracy = 41.376%, Running Loss = 5.647157001495361
Prediction Accuracy = 41.396%, Running Loss = 5.647292041778565
Prediction Accuracy = 41.408%, Running Loss = 5.647645139694214
Prediction Accuracy = 41.446000000000005%, Running Loss = 5.646822166442871
Prediction Accuracy = 41.47599999999999%, Running Loss = 5.646651268005371
Prediction Accuracy = 41.486000000000004%, Running Loss = 5.646996593475341
Prediction Accuracy = 41.468%, Running Loss = 5.64630241394043
Prediction Accuracy = 41.535999999999994%, Running Loss = 5.646448278427124
Prediction Accuracy = 41.507999999999996%, Running Loss = 5.646197271347046
Prediction Accuracy = 41.532%, Running Loss = 5.646164035797119
Prediction Accuracy = 41.519999999999996%, Running Loss = 5.645805025100708
Prediction Accuracy = 41.51800000000001%, Running Loss = 5.64581298828125
Prediction Accuracy = 41.554%, Running Loss = 5.645747470855713
Prediction Accuracy = 41.583999999999996%, Running Loss = 5.6454864025115965
Prediction Accuracy = 41.598%, Running Loss = 5.645419549942017
Prediction Accuracy = 41.65%, Running Loss = 5.64539942741394
Prediction Accuracy = 41.614000000000004%, Running Loss = 5.645318508148193
Prediction Accuracy = 41.64399999999999%, Running Loss = 5.645287895202637
Prediction Accuracy = 41.61600000000001%, Running Loss = 5.645023536682129
Prediction Accuracy = 41.66000000000001%, Running Loss = 5.645032739639282
Prediction Accuracy = 41.69199999999999%, Running Loss = 5.645098876953125
Prediction Accuracy = 41.721999999999994%, Running Loss = 5.6447957992553714
Prediction Accuracy = 41.706%, Running Loss = 5.644559669494629
Prediction Accuracy = 41.694%, Running Loss = 5.644988346099853
Prediction Accuracy = 41.726%, Running Loss = 5.644573211669922
Prediction Accuracy = 41.779999999999994%, Running Loss = 5.644294786453247
Prediction Accuracy = 41.778%, Running Loss = 5.644082164764404
Prediction Accuracy = 41.764%, Running Loss = 5.644730091094971
Prediction Accuracy = 41.792%, Running Loss = 5.6444309711456295
Prediction Accuracy = 41.815999999999995%, Running Loss = 5.644142580032349
Prediction Accuracy = 41.854%, Running Loss = 5.6437314510345455
Prediction Accuracy = 41.838%, Running Loss = 5.643853712081909
Prediction Accuracy = 41.846%, Running Loss = 5.644210004806519
Prediction Accuracy = 41.806%, Running Loss = 5.643437385559082
Prediction Accuracy = 41.856%, Running Loss = 5.64351716041565
Prediction Accuracy = 41.908%, Running Loss = 5.643337202072144
Prediction Accuracy = 41.92%, Running Loss = 5.643433380126953
Prediction Accuracy = 41.908%, Running Loss = 5.643101596832276
Prediction Accuracy = 41.879999999999995%, Running Loss = 5.643090391159058
Prediction Accuracy = 41.918%, Running Loss = 5.643079423904419
Prediction Accuracy = 41.916000000000004%, Running Loss = 5.643096876144409
Prediction Accuracy = 41.90399999999999%, Running Loss = 5.6436220645904545
Prediction Accuracy = 41.962%, Running Loss = 5.642617464065552
Prediction Accuracy = 41.952%, Running Loss = 5.643065166473389
Prediction Accuracy = 41.964000000000006%, Running Loss = 5.643166351318359
Prediction Accuracy = 41.952%, Running Loss = 5.642889785766601
Prediction Accuracy = 41.982%, Running Loss = 5.642647552490234
Prediction Accuracy = 42.00599999999999%, Running Loss = 5.642472267150879
Prediction Accuracy = 41.982000000000006%, Running Loss = 5.642369508743286
Prediction Accuracy = 41.96%, Running Loss = 5.642605257034302
Prediction Accuracy = 42.006%, Running Loss = 5.642318820953369
Prediction Accuracy = 42.012%, Running Loss = 5.642318916320801
Prediction Accuracy = 42.024%, Running Loss = 5.642138862609864
Prediction Accuracy = 42.038%, Running Loss = 5.642142295837402
Prediction Accuracy = 42.058%, Running Loss = 5.641924524307251
Prediction Accuracy = 42.064%, Running Loss = 5.642005395889282
Prediction Accuracy = 42.081999999999994%, Running Loss = 5.641961097717285
Prediction Accuracy = 42.092000000000006%, Running Loss = 5.642095565795898
Prediction Accuracy = 42.094%, Running Loss = 5.6417450428009035
