Prediction Accuracy = 37.134%, Running Loss = 5.680828094482422
Prediction Accuracy = 37.176%, Running Loss = 5.680273246765137
Prediction Accuracy = 37.236000000000004%, Running Loss = 5.679833269119262
Prediction Accuracy = 37.290000000000006%, Running Loss = 5.679623794555664
Prediction Accuracy = 37.282%, Running Loss = 5.679464960098267
Prediction Accuracy = 37.35600000000001%, Running Loss = 5.678993082046508
Prediction Accuracy = 37.406000000000006%, Running Loss = 5.678442573547363
Prediction Accuracy = 37.364%, Running Loss = 5.678345251083374
Prediction Accuracy = 37.452%, Running Loss = 5.677928066253662
Prediction Accuracy = 37.534000000000006%, Running Loss = 5.677626657485962
Prediction Accuracy = 37.592%, Running Loss = 5.677445793151856
Prediction Accuracy = 37.592%, Running Loss = 5.676976442337036
Prediction Accuracy = 37.672%, Running Loss = 5.676970815658569
Prediction Accuracy = 37.702%, Running Loss = 5.676732158660888
Prediction Accuracy = 37.676%, Running Loss = 5.67612099647522
Prediction Accuracy = 37.738%, Running Loss = 5.675963878631592
Prediction Accuracy = 37.756%, Running Loss = 5.67560830116272
Prediction Accuracy = 37.838%, Running Loss = 5.675585222244263
Prediction Accuracy = 37.926%, Running Loss = 5.67523307800293
Prediction Accuracy = 37.944%, Running Loss = 5.675336742401123
Prediction Accuracy = 37.99400000000001%, Running Loss = 5.674464559555053
Prediction Accuracy = 38.004000000000005%, Running Loss = 5.67462420463562
Prediction Accuracy = 38.001999999999995%, Running Loss = 5.673844528198242
Prediction Accuracy = 38.036%, Running Loss = 5.673916006088257
Prediction Accuracy = 38.068%, Running Loss = 5.673274040222168
Prediction Accuracy = 38.102%, Running Loss = 5.673224830627442
Prediction Accuracy = 38.126%, Running Loss = 5.672789573669434
Prediction Accuracy = 38.153999999999996%, Running Loss = 5.672736549377442
Prediction Accuracy = 38.126%, Running Loss = 5.672177410125732
Prediction Accuracy = 38.248%, Running Loss = 5.6722289562225345
Prediction Accuracy = 38.34%, Running Loss = 5.671815586090088
Prediction Accuracy = 38.408%, Running Loss = 5.6716045379638675
Prediction Accuracy = 38.414%, Running Loss = 5.671300172805786
Prediction Accuracy = 38.442%, Running Loss = 5.670918416976929
Prediction Accuracy = 38.42399999999999%, Running Loss = 5.670639419555664
Prediction Accuracy = 38.448%, Running Loss = 5.670488739013672
Prediction Accuracy = 38.57%, Running Loss = 5.670299911499024
Prediction Accuracy = 38.63000000000001%, Running Loss = 5.670008850097656
Prediction Accuracy = 38.746%, Running Loss = 5.669650936126709
Prediction Accuracy = 38.788%, Running Loss = 5.669470024108887
Prediction Accuracy = 38.772000000000006%, Running Loss = 5.669495439529419
Prediction Accuracy = 38.75%, Running Loss = 5.668741273880005
Prediction Accuracy = 38.814%, Running Loss = 5.668690729141235
Prediction Accuracy = 38.94799999999999%, Running Loss = 5.668261909484864
Prediction Accuracy = 39.034000000000006%, Running Loss = 5.668303680419922
Prediction Accuracy = 38.958%, Running Loss = 5.668232059478759
Prediction Accuracy = 39.052%, Running Loss = 5.667629051208496
Prediction Accuracy = 39.1%, Running Loss = 5.667410945892334
Prediction Accuracy = 39.158%, Running Loss = 5.667293453216553
Prediction Accuracy = 39.188%, Running Loss = 5.666780281066894
Prediction Accuracy = 39.194%, Running Loss = 5.666637849807739
Prediction Accuracy = 39.29600000000001%, Running Loss = 5.666240549087524
Prediction Accuracy = 39.355999999999995%, Running Loss = 5.666095399856568
Prediction Accuracy = 39.418%, Running Loss = 5.666189527511596
Prediction Accuracy = 39.444%, Running Loss = 5.66572151184082
Prediction Accuracy = 39.452%, Running Loss = 5.665253734588623
Prediction Accuracy = 39.483999999999995%, Running Loss = 5.665052318572998
Prediction Accuracy = 39.556000000000004%, Running Loss = 5.664851331710816
Prediction Accuracy = 39.556%, Running Loss = 5.664623165130616
Prediction Accuracy = 39.624%, Running Loss = 5.664395523071289
