Prediction Accuracy = 41.388000000000005%, Running Loss = 5.663741750717163
Prediction Accuracy = 42.216%, Running Loss = 5.657844896316528
Prediction Accuracy = 40.144%, Running Loss = 5.675567226409912
Prediction Accuracy = 41.751999999999995%, Running Loss = 5.664305200576782
Prediction Accuracy = 41.18%, Running Loss = 5.664508562088013
Prediction Accuracy = 41.522000000000006%, Running Loss = 5.656991682052612
Prediction Accuracy = 42.029999999999994%, Running Loss = 5.653828983306885
Prediction Accuracy = 42.001999999999995%, Running Loss = 5.65704421043396
Prediction Accuracy = 42.26200000000001%, Running Loss = 5.694772815704345
Prediction Accuracy = 41.696000000000005%, Running Loss = 5.661138916015625
Prediction Accuracy = 41.71799999999999%, Running Loss = 5.6585908699035645
Prediction Accuracy = 41.728%, Running Loss = 5.677058868408203
Prediction Accuracy = 41.394%, Running Loss = 5.655664491653442
Prediction Accuracy = 41.641999999999996%, Running Loss = 5.656345710754395
Prediction Accuracy = 42.086000000000006%, Running Loss = 5.672515859603882
Prediction Accuracy = 41.56399999999999%, Running Loss = 5.664543590545654
Prediction Accuracy = 41.87000000000001%, Running Loss = 5.661763801574707
Prediction Accuracy = 41.732%, Running Loss = 5.672063426971436
Prediction Accuracy = 41.85%, Running Loss = 5.663096647262574
Prediction Accuracy = 42.3%, Running Loss = 5.651839485168457
Prediction Accuracy = 42.132%, Running Loss = 5.683860845565796
Prediction Accuracy = 40.952%, Running Loss = 5.670396680831909
Prediction Accuracy = 41.565999999999995%, Running Loss = 5.6687067604064945
Prediction Accuracy = 41.961999999999996%, Running Loss = 5.651664838790894
Prediction Accuracy = 41.058%, Running Loss = 5.665897445678711
Prediction Accuracy = 41.092%, Running Loss = 5.662099685668945
Prediction Accuracy = 42.187999999999995%, Running Loss = 5.6500724506378175
Prediction Accuracy = 42.128%, Running Loss = 5.6561524868011475
Prediction Accuracy = 42.126%, Running Loss = 5.6658781623840335
Prediction Accuracy = 41.90599999999999%, Running Loss = 5.666647930145263
Prediction Accuracy = 41.328%, Running Loss = 5.669115476608276
Prediction Accuracy = 42.084%, Running Loss = 5.655287551879883
Prediction Accuracy = 41.96%, Running Loss = 5.653164863586426
Prediction Accuracy = 42.256%, Running Loss = 5.656897687911988
Prediction Accuracy = 42.20399999999999%, Running Loss = 5.657227478027344
Prediction Accuracy = 42.16%, Running Loss = 5.656833095550537
Prediction Accuracy = 41.692%, Running Loss = 5.665670471191406
Prediction Accuracy = 42.263999999999996%, Running Loss = 5.6513472938537594
Prediction Accuracy = 40.88399999999999%, Running Loss = 5.674223937988281
Prediction Accuracy = 42.25%, Running Loss = 5.659772253036499
Prediction Accuracy = 42.04800000000001%, Running Loss = 5.65655520439148
Prediction Accuracy = 41.802%, Running Loss = 5.6626205730438235
Prediction Accuracy = 41.983999999999995%, Running Loss = 5.658208284378052
Prediction Accuracy = 41.74%, Running Loss = 5.653256969451904
Prediction Accuracy = 41.45%, Running Loss = 5.672333116531372
Prediction Accuracy = 42.156000000000006%, Running Loss = 5.662857341766357
Prediction Accuracy = 42.004000000000005%, Running Loss = 5.662600297927856
Prediction Accuracy = 42.33200000000001%, Running Loss = 5.667038955688477
Prediction Accuracy = 42.09800000000001%, Running Loss = 5.65310694694519
Prediction Accuracy = 41.553999999999995%, Running Loss = 5.661757373809815
Prediction Accuracy = 42.208%, Running Loss = 5.6675385475158695
Prediction Accuracy = 42.034%, Running Loss = 5.662248640060425
Prediction Accuracy = 42.431999999999995%, Running Loss = 5.651384944915772
Prediction Accuracy = 42.058%, Running Loss = 5.652911767959595
Prediction Accuracy = 41.88%, Running Loss = 5.661328992843628
Prediction Accuracy = 42.342%, Running Loss = 5.658478212356568
Prediction Accuracy = 42.013999999999996%, Running Loss = 5.671233406066895
Prediction Accuracy = 41.728%, Running Loss = 5.659048223495484
Prediction Accuracy = 41.918%, Running Loss = 5.681074161529541
Prediction Accuracy = 42.04599999999999%, Running Loss = 5.655426654815674
Prediction Accuracy = 41.602%, Running Loss = 5.6614416885375975
Prediction Accuracy = 42.248000000000005%, Running Loss = 5.6537439823150635
Prediction Accuracy = 42.326%, Running Loss = 5.655952196121216
Traceback (most recent call last):
  File "/Users/athmajanvivekananthan/WCE/JEPA - MARL/multi-agent/PPO/bert_marl/mode20-dqn/classify.py", line 81, in <module>
    inputs, labels = data[0].to(device), data[1].to(device)
  File "/Users/athmajanvivekananthan/WCE/JEPA - MARL/multi-agent/bertsekas-marl/spider/lib/python3.11/site-packages/torch/utils/data/dataloader.py", line 634, in __next__
    data = self._next_data()
           ^^^^^^^^^^^^^^^^^
  File "/Users/athmajanvivekananthan/WCE/JEPA - MARL/multi-agent/bertsekas-marl/spider/lib/python3.11/site-packages/torch/utils/data/dataloader.py", line 678, in _next_data
    data = self._dataset_fetcher.fetch(index)  # may raise StopIteration
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/athmajanvivekananthan/WCE/JEPA - MARL/multi-agent/bertsekas-marl/spider/lib/python3.11/site-packages/torch/utils/data/_utils/fetch.py", line 54, in fetch
    return self.collate_fn(data)
           ^^^^^^^^^^^^^^^^^^^^^
